ds,y
12/1/00,1271.2
1/1/01,1196.3
2/1/01,1381.5
3/1/01,1627.8
4/1/01,1377
5/1/01,1635.2
6/1/01,1652.2
7/1/01,1374.6
8/1/01,1478.2
9/1/01,1312.5
10/1/01,1753.2
11/1/01,1347.9
12/1/01,1336.1
1/1/02,1130
2/1/02,1328.8
3/1/02,1541.2
4/1/02,1471.8
5/1/02,1538.5
6/1/02,1563.9
7/1/02,1552
8/1/02,1734.9
9/1/02,1251
10/1/02,1331.2
11/1/02,1227.6
12/1/02,1467.7
1/1/03,1108.3
2/1/03,1237.6
3/1/03,1474.8
4/1/03,1436.7
5/1/03,1601.1
6/1/03,1502.3
7/1/03,1538.8
8/1/03,1656.2
9/1/03,1329.5
10/1/03,1333.5
11/1/03,1285.4
12/1/03,1463.3
1/1/04,1149.6
2/1/04,1303.7
3/1/04,1540.3
4/1/04,1455.7
5/1/04,1660.8
6/1/04,1480.7
7/1/04,1589.2
8/1/04,1463.3
9/1/04,1470.1
10/1/04,1370.1
11/1/04,1231.2
12/1/04,1583.6
1/1/05,1095.8
2/1/05,1286.1
3/1/05,1616
4/1/05,1542
5/1/05,1537.3
6/1/05,1720.1
7/1/05,1845.7
8/1/05,1524.2
9/1/05,1367
10/1/05,1184.2
11/1/05,1200.7
12/1/05,1525.7
1/1/06,1176.1
2/1/06,1298
3/1/06,1576.7
4/1/06,1489.8
5/1/06,1533.7
6/1/06,1545.2
7/1/06,1531.1
8/1/06,1530
9/1/06,1394.1
10/1/06,1260.6
11/1/06,1236.6
12/1/06,1476.4
1/1/07,1124.2
2/1/07,1285.1
3/1/07,1574.9
4/1/07,1366
5/1/07,1590.2
6/1/07,1481.3
7/1/07,1331.1
8/1/07,1500.4
9/1/07,1335.8
10/1/07,1256.5
11/1/07,1200.4
12/1/07,1414.1
1/1/08,1063.4
2/1/08,1196.5
3/1/08,1378.6
4/1/08,1273
5/1/08,1420.5
6/1/08,1212.6
7/1/08,1156
8/1/08,1269.1
9/1/08,984.6
10/1/08,859
11/1/08,763.9
12/1/08,916.2
1/1/09,670.4
2/1/09,701.7
3/1/09,872.8
4/1/09,832.7
5/1/09,938.4
6/1/09,874.9
7/1/09,1011.8
8/1/09,1274.6
9/1/09,759.6
10/1/09,854
11/1/09,761.8
12/1/09,1049.3
1/1/10,712.5
2/1/10,793.3
3/1/10,1083.9
4/1/10,997.3
5/1/10,1117.6
6/1/10,1000.5
7/1/10,1065.7
8/1/10,1011.5
9/1/10,974
10/1/10,965.2
11/1/10,888
12/1/10,1162.9
1/1/11,836.4
2/1/11,1007.1
3/1/11,1276.8
4/1/11,1173.5
5/1/11,1081.3
6/1/11,1071.2
7/1/11,1086.1
8/1/11,1094.5
9/1/11,1076
10/1/11,1048.3
11/1/11,1028.8
12/1/11,1268.5
1/1/12,938.2
2/1/12,1175.8
3/1/12,1434
4/1/12,1204.5
5/1/12,1369.5
6/1/12,1310.2
7/1/12,1171.8
8/1/12,1305.3
9/1/12,1206.2
10/1/12,1119.1
11/1/12,1169.8
12/1/12,1375.1
1/1/13,1065.8
2/1/13,1217.9
3/1/13,1479.4
4/1/13,1313.8
5/1/13,1473.3
6/1/13,1425.8
7/1/13,1335.8
8/1/13,1527.5
9/1/13,1152.8
10/1/13,1235.5
11/1/13,1271.4
12/1/13,1383.7
1/1/14,1043
2/1/14,1221.4
3/1/14,1562.7
4/1/14,1408.2
5/1/14,1644.4
6/1/14,1451.8
7/1/14,1474
8/1/14,1607.3
9/1/14,1272
10/1/14,1312.3
11/1/14,1324.1
12/1/14,1538.5
1/1/15,1177.9
2/1/15,1285.1
3/1/15,1579.6
4/1/15,1479.3
5/1/15,1668.5
6/1/15,1518.7
7/1/15,1546.8
8/1/15,1598.3
9/1/15,1474.9
10/1/15,1486.4
11/1/15,1358.8
12/1/15,1671.3
1/1/16,1188.8
2/1/16,1374.3
3/1/16,1614.1
4/1/16,1524.1
5/1/16,1552.7
6/1/16,1548.9
7/1/16,1546.8
8/1/16,1539.8
9/1/16,1462.1
10/1/16,1397.1
11/1/16,1399.4
12/1/16,1717.9
1/1/17,1164.3
2/1/17,1352.1
3/1/17,1582.7
4/1/17,1449.7
5/1/17,1543.9
6/1/17,1501.7
7/1/17,1440.9
